Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"May 01, 2022","May 01, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king soft quilt cooling,1,1,100.0000%,$0.43,$0.43,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 26, 2022","Apr 26, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king summer comforter lightweight,1,1,100.0000%,$0.48,$0.48,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 01, 2022","May 01, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king summer comforter set,1,1,100.0000%,$0.49,$0.49,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 29, 2022","Apr 29, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king tan coverlet,4,1,25.0000%,$0.47,$0.47,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 29, 2022","Apr 29, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king taupe cooling bedspread,2,1,50.0000%,$0.38,$0.38,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 26, 2022","Apr 26, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king tencel comforter,2,1,50.0000%,$0.48,$0.48,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 27, 2022","Apr 27, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king textured coverlet,6,1,16.6667%,$0.55,$0.55,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 01, 2022","May 01, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king thin bedspread,5,1,20.0000%,$0.70,$0.70,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 26, 2022","Apr 26, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king threshold comforter set,2,1,50.0000%,$0.70,$0.70,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 01, 2022","May 01, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king tufted comforter,2,1,50.0000%,$0.66,$0.66,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
